id,name,level,craftingPrice,material1,base1,count1,material2,base2,count2,material3,base3,count3,material4,base4,count4,material5,base5,count5
1,밀짚끈,1,1,밀,0,1,,,,,,,,,,,,
2,네이쳐 오가닉 소파,2,1,밀짚끈,1,2,,,,,,,,,,,,
3,네이쳐 오가닉 테이블,2,2,밀짚끈,1,3,,,,,,,,,,,,
4,에코 바구니,3,2,밀짚끈,1,1,밀,0,1,,,,,,,,,
5,딸기 향초,3,2,밀짚끈,1,1,딸기,0,1,,,,,,,,,
6,나무 막대기,5,5,전나무 목재,0,1,,,,,,,,,,,,
7,빨간 리본 빗자루,5,8,나무 막대기,1,1,밀,0,4,,,,,,,,,
8,네이쳐 오가닉 쿠션 소파,5,9,밀짚끈,0,2,네이쳐 오가닉 소파,1,1,전나무 목재,0,1,,,,,,
9,나무 판자,6,10,전나무 목재,0,2,,,,,,,,,,,,
10,원목 서랍장,6,16,나무 막대기,1,1,전나무 목재,0,2,,,,,,,,,
11,원목 양념통,6,12,나무 막대기,1,2,,,,,,,,,,,,
12,베이직 우드 테이블,6,16,전나무 목재,0,2,나무 막대기,1,1,,,,,,,,,
13,버찌잎 액자,6,24,나무 판자,1,2,씨앗,0,1,,,,,,,,,
14,짧은 우드 울타리,7,7,전나무 목재,0,1,밀짚끈,1,1,,,,,,,,,
15,초록 포포레스 화분,7,13,묘목,0,2,나무 막대기,1,1,,,,,,,,,
16,빨간 포포레스 화병,7,8,씨앗,0,2,나무 막대기,1,1,,,,,,,,,
17,과일 바구니,7,20,사과,0,1,에코 바구니,1,1,토마토,0,3,,,,,,
18,베이직 원목 의자,7,37,나무 막대기,1,4,나무 판자,1,1,,,,,,,,,
19,원목 찬장,7,40,원목 양념통,1,1,나무 판자,1,2,,,,,,,,,
20,베이직 우드 창문,8,77,나무 판자,1,5,나무 넝쿨,0,2,,,,,,,,,
21,우드 레이스 테이블,9,40,나무 막대기,1,4,전나무 목재,0,2,,,,,,,,,
22,베이직 2인 의자,9,128,베이직 원목 의자,1,2,나무 판자,1,2,,,,,,,,,
23,내츄럴 스톤 중간벽,10,21,나무 판자,1,1,자갈,0,5,,,,,,,,,
24,기다란 우드 울타리,10,18,짧은 우드 울타리,1,2,,,,,,,,,,,,
25,원목 원형 테이블,10,58,전나무 목재,0,4,네이쳐 오가닉 테이블,1,1,나무 막대기,1,4,,,,,,
26,베이직 코튼 침대,10,229,전나무 목재,0,10,나무 판자,1,5,무명천,1,7,,,,,,
27,레드코튼 원형 체어,11,73,빨간 무명천,1,1,나무 막대기,1,4,솜,0,2,,,,,,
28,야채 상자,12,80,나무 판자,1,4,토마토,0,3,,,,,,,,,
29,고급 나무 중간벽,12,69,나무 판자,1,4,자갈,0,5,,,,,,,,,
30,레드 코튼 1인용 소파,12,173,나무 판자,1,4,빨간 무명천,1,3,솜,0,4,,,,,,
31,고급 나무 벽지,12,198,나무 판자,1,8,무명천,1,5,,,,,,,,,
32,레이스 라운딩 테이블,13,154,레이스,1,2,원목 원형 테이블,1,1,,,,,,,,,
33,원목 조미료 선반,13,138,원목 찬장,1,1,원목 양념통,1,4,,,,,,,,,
34,짧은 수풀 울타리,14,62,초록 포포레스 화분,1,2,나무 막대기,1,2,나무 넝쿨,0,1,,,,,,
35,원목 청록색 문,14,212,나무 막대기,1,5,나무 판자,1,10,블루베리,0,1,,,,,,
36,기다란 수풀 울타리,14,158,짧은 수풀 울타리,1,2,,,,,,,,,,,,
37,분홍 장미,15,55,딸기,0,3,노란장미,0,2,나무 넝쿨,0,1,,,,,,
38,알록달록 도트 중간벽,15,89,나무 판자,1,3,빨간 무명천,1,1,무명천,1,1,,,,,,
39,지그재그 스티치 중간벽,15,139,무명천,1,2,나무 판자,1,4,노란장미,0,2,,,,,,
40,아이보리 스톤 타일,15,183,나무 판자,1,10,자갈,0,10,,,,,,,,,
41,레드 코튼 2인용 소파,15,522,레드 코튼 1인용 소파,1,2,나무 막대기,1,6,,,,,,,,,
42,종이,16,8,전나무 목재,0,1,,,,,,,,,,,,
43,빨간 색연필,16,24,나무 막대기,1,1,사과,0,3,씨앗,0,1,,,,,,
44,책,16,71,양가죽,0,1,종이,1,3,,,,,,,,,
45,패브릭 라운딩 액자,16,382,무명천,1,10,버찌잎 액자,1,3,털실,1,6,,,,,,
46,양초,17,32,오렌지,0,1,딸기 향초,1,1,전나무 목재,0,1,,,,,,
47,빈티지 서랍 과일 상자,17,324,사과,0,6,나무 판자,1,6,가죽끈,1,2,오렌지,0,4,,,
48,화이트 블라인드 창문,18,907,유리,1,8,베이직 우드 창문,1,1,무명천,1,12,,,,,,
49,별님 총총 액자,19,296,유리,1,1,나무 판자,1,3,금속 막대기,1,2,,,,,,
50,고급 나무 막대기,20,65,단풍나무 목재,0,1,,,,,,,,,,,,
51,몽상가 책상 의자,20,379,나무 판자,1,2,고급 나무 막대기,1,2,못,1,2,,,,,,
52,새싹라인 우드 파티션,20,355,나무 판자,1,4,단풍나무 목재,0,3,못,1,1,,,,,,
53,꿈꾸는 몽상가 책상,20,1060,못,1,4,단풍나무 목재,0,8,유리,1,2,종이,1,5,,,
54,우드라운드 미니 테이블,20,444,전나무 목재,0,3,단풍나무 목재,0,3,레이스 라운딩 테이블,1,1,,,,,,
55,화이트리스 현관문,20,1650,노란장미,0,3,원목 청록색 문,1,1,고급 나무 막대기,1,10,금속 막대기,1,5,,,
56,로즈우드 앤틱 의자,21,439,못,1,2,베이직 원목 의자,1,1,단풍나무 목재,0,3,,,,,,
57,유러피안 미니 협탁,21,518,단풍나무 목재,0,3,원목 서랍장,1,2,못,1,3,,,,,,
58,플로럴 레이스 테이블,21,888,레이스,1,3,레이스 라운딩 테이블,1,1,단풍나무 목재,0,8,,,,,,
59,유러피안 오픈 책꽂이,21,653,종이,1,10,원목 조미료 선반,1,1,고급 나무 막대기,1,4,,,,,,
60,아쿠아 레이스 창문,21,2244,고급 나무 막대기,1,10,화이트 블라인드 창문,1,1,레이스,1,3,,,,,,
61,로즈우드 앤틱 서랍장,22,625,고급 나무 막대기,1,6,원목 서랍장,1,1,노란장미,0,3,,,,,,
62,로즈우드 앤틱 옷장,22,1052,금속 막대기,1,4,단풍나무 목재,0,4,가죽끈,1,6,노란장미,0,3,,,
63,고급 나무 판자,23,136,단풍나무 목재,0,2,,,,,,,,,,,,
64,브라운 투톤 스툴,23,578,고급 나무 판자,1,2,나무 판자,1,2,못,1,2,,,,,,
65,리본 프렌치 마네킹,23,526,천,1,2,고급 나무 막대기,1,2,가죽끈,1,2,빨간 리본,1,1,,,
66,유러피안 1인 소파,23,1193,고급 나무 판자,1,2,레드 코튼 1인용 소파,1,1,천,1,4,못,1,2,,,
67,통통비치 썬배드,25,1846,솜,0,5,고급 나무 판자,1,6,천,1,3,못,1,4,,,
68,네이비 도트 키친 카운터,26,2771,원목 서랍장,1,2,고급 나무 판자,1,4,조리 도구 세트,1,2,못,1,5,,,
69,유러피안 폭신쿠션 의자,26,1358,가죽 단추,1,2,유러피안 스너그 체어,1,2,토끼털,0,5,,,,,,
